City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Markova,UA,2021-09-25 20:27:58,48.6758,24.4138,49.71,83,1,7.16
241,Mindelo,CV,2021-09-25 20:27:58,16.8901,-24.9804,78.35,69,20,14.97
242,Umm Lajj,SA,2021-09-25 20:27:59,25.0213,37.2685,82.78,70,0,11.7
243,Iqaluit,CA,2021-09-25 20:27:59,63.7506,-68.5145,33.53,80,90,17.0
244,Husavik,IS,2021-09-25 20:27:59,66.0449,-17.3389,39.11,94,100,16.73
245,Muscat,OM,2021-09-25 20:28:00,23.6139,58.5922,86.02,61,19,3.85
246,Port-Gentil,GA,2021-09-25 20:28:00,-0.7193,8.7815,78.76,89,75,11.5
247,Mandalgovi,MN,2021-09-25 20:28:00,45.7625,106.2708,41.49,52,0,11.74
248,Kaniama,CD,2021-09-25 20:28:01,-7.5667,24.1833,80.46,33,96,1.77
249,Roebourne,AU,2021-09-25 20:28:01,-20.7833,117.1333,68.63,49,0,13.44
250,Hvide Sande,DK,2021-09-25 20:28:02,56.0045,8.1294,52.09,72,100,5.46
251,Narsaq,GL,2021-09-25 20:28:02,60.9167,-46.05,41.22,63,0,3.87
252,Ostrogozhsk,RU,2021-09-25 20:28:02,50.8664,39.0756,50.31,78,96,8.77
253,Puerto Cabezas,NI,2021-09-25 20:28:03,14.0351,-83.3888,78.76,94,75,6.91
254,Grand Gaube,MU,2021-09-25 20:28:03,-20.0064,57.6608,73.38,71,9,11.01
255,Olga,RU,2021-09-25 20:28:03,43.7444,135.2892,53.19,94,100,2.91
256,Qaanaaq,GL,2021-09-25 20:28:04,77.484,-69.3632,22.44,71,100,7.58
257,Springbok,ZA,2021-09-25 20:28:04,-29.6643,17.8865,61.23,37,18,4.56
258,Sao Jose Da Coroa Grande,BR,2021-09-25 20:28:04,-8.8978,-35.1478,77.13,82,13,10.27
259,Itarema,BR,2021-09-25 20:28:05,-2.9248,-39.9167,80.91,74,48,18.34
260,Mehamn,NO,2021-09-25 20:28:05,71.0357,27.8492,47.3,83,100,7.94
261,Bani,DO,2021-09-25 20:28:05,18.2833,-70.3333,92.64,62,16,8.39
